CATEGORIA_FINAL,CAT_ID
OTORRINOLARINGOLOGIA,CAT-0236
PATOLOGIA,CAT-0237
PEDIATRIA,CAT-0238
PLANEACION EDUCATIVA,CAT-0239
PLANEACION TERRITORIAL,CAT-0240
POLÍTICAS PÚBLICAS,CAT-0241
PROCESOS DE FAMILIA,CAT-0242
PRODUCCION ALIMENTOS,CAT-0243
PRODUCCION ANIMAL,CAT-0244
PRODUCCION AUDIOVISUAL,CAT-0245
PROPIEDAD INTELECTUAL,CAT-0246
PROSPECTIVA,CAT-0247
PROYECTOS EDUCATIVOS,CAT-0248
PSICOLOGIA CLINICA Y DE LA SALUD,CAT-0249
PSICOLOGIA EDUCATIVA,CAT-0250
PSICOLOGIA GENERAL,CAT-0251
PSICOLOGIA JURIDICA Y FORENSE,CAT-0252
PSICOLOGIA ORGANIZACIONAL,CAT-0253
PSICOPEDAGOGIA,CAT-0254
PSIQUIATRIA,CAT-0255
PUBLICIDAD,CAT-0256
QUIMICA,CAT-0257
RADIOLOGIA,CAT-0258
REHABILITACION,CAT-0259
RELIGION Y ESPIRITUALIDAD,CAT-0260
RESPONSABILIDAD SOCIAL EMPRESARIAL,CAT-0261
REUMATOLOGIA,CAT-0262
REVISORIA FISCAL,CAT-0263
SALUD FAMILIAR,CAT-0264
SALUD PUBLICA,CAT-0265
SANIDAD ANIMAL,CAT-0266
SEGURIDAD,CAT-0267
SEGURIDAD INFORMATICA Y DIGITAL,CAT-0268
SEGURIDAD SOCIAL,CAT-0269
SEGURIDAD Y SALUD EN EL TRABAJO,CAT-0270
SEGUROS,CAT-0271
SERVICIOS PUBLICOS,CAT-0272
SISTEMAS DE INFORMACION,CAT-0273
SISTEMAS DE PRODUCCION,CAT-0274
SISTEMAS INTEGRADOS DE GESTION,CAT-0275
SOCIOLOGÍA,CAT-0276
SUELOS Y RECURSOS MINERALES,CAT-0277
TECNOLOGIA EN EDUCACION,CAT-0278
TEOLOGIA,CAT-0279
TERAPIA,CAT-0280
TRABAJO SOCIAL,CAT-0281
TRADUCCION,CAT-0282
TRANSFORMACION DIGITAL,CAT-0283
TRANSPORTE VIAS Y PAVIMENTOS,CAT-0284
"TRANSPORTE, VIAS Y PAVIMENTOS",CAT-0285
TRIBUTACION Y ADUANAS,CAT-0286
UROLOGIA,CAT-0287
VETERINARIA,CAT-0288
